concept,color,rating
angry,#999999,30
mango,#608000,0
sad,#99FF99,38
peach,#333333,0
safety,#228B22,100
tree,#800000,12
banana,#9966CC,1
sad,#228B22,32
banana,#000000,0
safety,#DC143C,100
safety,#CCCC66,81
sad,#999999,60
lightning,#0000CD,36
justice,#ADFF2F,91
safety,#FFD700,70
mango,#99CC66,37
angry,#800000,89
banana,#400080,5
angry,#DFFF99,18
mango,#008080,12
death,#999999,89
justice,#00CED1,74
peach,#FFFFFF,16
peach,#6699CC,23
sandstorm,#C299FF,21
death,#DFFF99,19
sick,#0000CD,72
sandstorm,#99FF99,17
lightning,#99CC66,51
tree,#C299FF,16
angry,#004D00,13
peach,#608000,22
tree,#99C2FF,16
happy,#CCCC66,25
sick,#99CC66,86
sandstorm,#804000,78
justice,#000000,24
peace,#333333,15
peach,#DFFF99,73
sad,#DFFF99,20
sandstorm,#FF4500,83
death,#99CC66,28
peach,#999999,11
tree,#FFFF99,27
sandstorm,#CC6666,73
banana,#FFC299,82
peace,#99FFFF,69
lightning,#9966CC,26
sick,#000000,18
banana,#99C2FF,22
banana,#804000,22
peach,#FF9999,100
happy,#DC143C,85
safety,#DFFF99,34
mango,#FFFF99,71
peace,#66CC66,79
mango,#99FFFF,0
tree,#66CC66,86
sad,#99FFFF,69
sick,#ADFF2F,100
banana,#99FF99,0
tree,#DC143C,0
death,#FF9999,71
lightning,#99FFFF,40
sick,#99FF99,76
safety,#C299FF,0
banana,#99FFFF,0
mango,#ADFF2F,0
angry,#CCCC66,16
justice,#004080,69
peach,#FFD700,66
death,#804000,55
mango,#400080,3
peach,#CC6666,5
justice,#66CCCC,74
sick,#228B22,86
banana,#0000CD,0
peace,#400080,12
sandstorm,#99C2FF,0
death,#6699CC,0
lightning,#FFFF99,63
sad,#CCCC66,0
tree,#FFFFFF,0
mango,#FFFFFF,0
banana,#808000,0
tree,#FFFF99,0
peach,#228B22,0
mango,#00CED1,0
lightning,#99C2FF,60
safety,#FFC299,0
peace,#228B22,68
peace,#99FFFF,0
lightning,#00CED1,58
happy,#004D00,0
peace,#ADFF2F,0
peach,#FF4500,38
banana,#9966CC,0
banana,#FFD700,100
sick,#66CC66,100
safety,#008080,70
angry,#99C2FF,20
sick,#ADFF2F,93
justice,#99FF99,0
sick,#CCCC66,95
safety,#FF4500,78
peach,#228B22,0
tree,#FF9999,8
lightning,#999999,10
angry,#999999,7
sandstorm,#004080,22
angry,#CC9966,5
peace,#004D00,64
death,#666666,75
lightning,#DFFF99,66
angry,#66CC66,0
sandstorm,#99FF99,0
peach,#DC143C,50
mango,#400080,0
mango,#66CCCC,0
lightning,#9966CC,11
mango,#FFFFFF,0
banana,#FF4500,0
sick,#66CCCC,9
safety,#FFFFFF,43
banana,#C299FF,0
angry,#99CC66,0
sick,#DFFF99,70
sandstorm,#99CC66,0
lightning,#99C2FF,19
death,#99CC66,0
sick,#9966CC,22
peace,#804000,17
peach,#C299FF,0
angry,#0000CD,0
death,#800000,16
peace,#FF4500,39
angry,#CC6666,55
banana,#FFC299,73
justice,#004080,91
death,#99FFFF,0
sick,#004080,16
angry,#228B22,0
sad,#FFD700,0
tree,#99FF99,58
lightning,#400080,0
death,#333333,100
death,#FFFF99,0
sad,#800080,56
safety,#800000,12
sick,#808000,84
peach,#008080,0
justice,#C299FF,21
lightning,#0000CD,0
mango,#00CED1,0
safety,#66CCCC,64
angry,#99FF99,9
peach,#66CCCC,0
tree,#333333,0
peace,#CC6666,53
angry,#FFFFFF,0
peace,#999999,8
sad,#FFC299,0
happy,#400080,0
sick,#DFFF99,82
mango,#333333,0
angry,#99FFFF,0
peach,#66CC66,0
death,#00CED1,0
lightning,#333333,0
mango,#0000CD,0
sad,#99CC66,15
banana,#808000,40
mango,#228B22,0
justice,#FF4500,38
banana,#999999,0
tree,#99C2FF,0
peace,#400080,10
sick,#808000,100
death,#99CC66,0
happy,#ADFF2F,72
sick,#9966CC,21
angry,#999999,0
sandstorm,#228B22,0
mango,#66CC66,0
happy,#66CC66,0
peach,#808000,0
mango,#FFC299,0
sick,#FFC299,0
death,#9966CC,0
mango,#804000,0
sick,#804000,23
lightning,#DC143C,0
mango,#228B22,13
angry,#CC9966,0
peace,#C299FF,50
angry,#004080,29
peach,#666666,0
lightning,#808000,0
sick,#CC9966,0
angry,#008080,0
banana,#99C2FF,0
sandstorm,#0000CD,0
mango,#00CED1,0
safety,#000000,0
safety,#804000,0
death,#FFFF99,0
sad,#ADFF2F,0
peace,#333333,0
safety,#CC9966,0
banana,#DC143C,0
sick,#004D00,100
lightning,#DFFF99,0
lightning,#999999,77
angry,#804000,0
sick,#FFFF99,1
happy,#99C2FF,0
death,#C299FF,0
sandstorm,#000000,0
