"concept","color","rating_count","mean","standard_deviation"
"tree","#DFFF99",7,"73.57","27.74"
"banana","#004D00",3,"15.67","16.80"
"sad","#66CC66",7,"12.86","14.31"
"peach","#800000",8,"13.25","14.46"
"sad","#9966CC",6,"24.83","28.72"
"sandstorm","#804000",10,"45.70","34.44"
"peace","#CC6666",10,"56.10","29.46"
"sad","#ADFF2F",9,"12.56","10.67"
"happy","#004080",7,"21.57","25.28"
"angry","#FFFFFF",8,"14.13","10.99"
"mango","#608000",7,"16.00","23.37"
"peach","#333333",11,"9.64","9.06"
"mango","#008080",9,"7.33","12.05"
"death","#999999",10,"69.40","26.48"
"death","#DFFF99",7,"34.57","29.95"
"sick","#0000CD",4,"46.00","32.38"
"sandstorm","#99FF99",6,"7.50","9.54"
"angry","#004D00",7,"19.00","21.21"
"banana","#804000",7,"32.71","24.87"
"mango","#99FFFF",6,"4.67","7.47"
"banana","#99FF99",7,"27.43","26.24"
"lightning","#99FFFF",7,"21.14","30.27"
"banana","#99FFFF",8,"12.50","8.73"
"tree","#FFFFFF",6,"5.17","11.25"
"peach","#228B22",8,"6.00","10.03"
"lightning","#00CED1",6,"30.67","24.30"
"safety","#FF4500",8,"47.63","26.11"
"angry","#0000CD",8,"16.38","22.52"
"angry","#228B22",7,"11.71","11.64"
"sick","#808000",6,"89.17","7.81"
"safety","#66CCCC",5,"38.80","27.76"
"tree","#333333",6,"3.83","7.11"
"mango","#228B22",9,"21.67","28.40"
"justice","#FF4500",6,"42.50","29.43"
"sandstorm","#0000CD",6,"8.33","10.63"
"death","#ADFF2F",6,"12.00","12.70"
"justice","#FFFF99",7,"37.29","36.00"
"happy","#999999",8,"4.88","8.25"
"justice","#FFC299",7,"13.57","24.55"
"justice","#CCCC66",6,"20.83","24.83"
"banana","#6699CC",7,"6.14","7.90"
"peach","#CCCC66",6,"21.83","28.63"
"peach","#99FF99",7,"13.71","25.18"
"banana","#333333",9,"6.56","7.18"
"peace","#6699CC",5,"64.00","31.30"
"banana","#FF9999",7,"20.71","19.09"
"justice","#666666",5,"35.80","27.31"
"peace","#800000",7,"7.86","6.26"
"tree","#00CED1",8,"12.38","11.51"
"mango","#999999",8,"8.25","8.86"
"peach","#FFC299",4,"83.50","17.00"
"sandstorm","#800000",4,"22.75","31.62"
"peach","#000000",6,"4.50","6.89"
"justice","#228B22",8,"53.13","27.01"
"mango","#FF4500",3,"27.33","35.57"
"death","#99FF99",2,"12.50","14.85"
"tree","#99CC66",3,"82.33","20.82"
"death","#608000",6,"29.50","27.22"
"safety","#6699CC",4,"45.75","36.43"
"sad","#CC9966",6,"14.50","22.01"
"lightning","#800000",4,"10.25","11.90"
"happy","#99CC66",3,"38.33","37.90"
"justice","#99CC66",4,"34.00","25.05"
"happy","#FFC299",4,"56.75","14.73"
"sandstorm","#FFFF99",5,"73.60","29.82"
"angry","#FFC299",2,"25.00","4.24"
"lightning","#FFD700",4,"88.00","14.45"
"tree","#CC6666",2,"6.50","9.19"
"happy","#808000",3,"15.00","14.53"
"justice","#99C2FF",2,"39.00","50.91"
